ID,Preço,Variação,Variação (%),Horário
AALR3,R$4.10,1.44,-0.060 Today,22/01/2026 - 18:08:56
ABEV3,R$14.64,2.31,+0.33 Today,22/01/2026 - 18:08:56
AERI3,R$3.20,0.95,+0.030 Today,22/01/2026 - 18:08:56
AFLT3,R$7.32,0.81,-0.060 Today,22/01/2026 - 18:08:56
AGRO3,R$21.24,0.38,+0.080 Today,22/01/2026 - 18:08:56
AGXY3,R$3.96,0.50,-0.020 Today,22/01/2026 - 18:08:56
ALLD3,R$8.50,0.83,+0.070 Today,22/01/2026 - 18:08:56
ALOS3,R$29.46,2.12,+0.61 Today,22/01/2026 - 18:08:56
ALPA3,R$10.52,3.85,+0.39 Today,22/01/2026 - 18:08:56
ALPK3,R$4.57,0.87,-0.040 Today,22/01/2026 - 18:08:56
